type,key,EN,FR,ES,PT,source_files,usage,,,,
variable,EXTRA_FEEDBACK_Confidence.short,Confidence in Fairness,Confiance dans l’équité,Confianza en la equidad,Confiança na equidade,question_code,Question short label,,,,
variable,EXTRA_FEEDBACK_Confidence.long,"If many people complained about a service offered by the Red Cross that is working badly, do you think that it would be improved?","Si de nombreuses personnes se plaignaient d’un service de la Croix-Rouge qui fonctionne mal, pensez-vous qu’il serait amélioré ?","Si muchas personas se quejaran de un servicio de la Cruz Roja que funciona mal, ¿cree que se mejoraría?","Se muitas pessoas se queixassem de um serviço da Cruz Vermelha que funciona mal, considera que seria melhorado?",question_code,Question long label,,,,
variable,EXTRA_ENGAGEMENT_voice_view.short,Opportunity to Voice Views,Possibilité d’exprimer son opinion,Oportunidad de expresar su opinión,Oportunidade de expressar opiniões,question_code,Question short label,,,,
variable,EXTRA_ENGAGEMENT_voice_view.long,"If a decision affecting your community is to be made by the Red Cross, do you think that you would have an opportunity to voice your views?","Si la Croix-Rouge devait prendre une décision concernant votre communauté, pensez-vous que vous auriez la possibilité d’exprimer votre opinion ?","Si la Cruz Roja tuviera que tomar una decisión que afectara a su comunidad, ¿cree que tendría la oportunidad de expresar su opinión?","Se a Cruz Vermelha fosse tomar uma decisão que afeta a sua comunidade, considera que teria oportunidade de expressar as suas opiniões?",question_code,Question long label,,,,
variable,EXTRA_ENGAGEMENT_community_discussions.short,Participation in Community Discussions,Participation aux discussions communautaires,Participación en discusiones comunitarias,Participação em discussões comunitárias,question_code,Question short label,,,,
variable,EXTRA_ENGAGEMENT_community_discussions.long,Have you had opportunities to participate in discussions about the support available in your community?,Avez-vous eu l’occasion de participer à des discussions sur le soutien disponible dans votre communauté ?,¿Ha tenido oportunidades de participar en discusiones sobre el apoyo disponible en su comunidad?,Teve oportunidades de participar em discussões sobre o apoio disponível na sua comunidade?,question_code,Question long label,,,,
variable,EXTRA_ENGAGEMENT_dialogue_activities.short,Participation in Dialogue Activities,Participation aux activités de dialogue,Participación en actividades de diálogo,Participação em atividades de diálogo,question_code,Question short label,,,,
variable,EXTRA_ENGAGEMENT_dialogue_activities.long,Have you had opportunities to participate in any activities organised by the Red Cross aiming to strengthen dialogue and understanding between different groups and communities (e.g. migrants and host community members)?,"Avez-vous eu l’occasion de participer à des activités organisées par la Croix-Rouge visant à renforcer le dialogue et la compréhension entre différents groupes et communautés (par exemple, migrants et membres de la communauté d’accueil) ?","¿Ha tenido oportunidades de participar en actividades organizadas por la Cruz Roja destinadas a fortalecer el diálogo y la comprensión entre diferentes grupos y comunidades (por ejemplo, migrantes y miembros de la comunidad de acogida)?","Teve oportunidades de participar em atividades organizadas pela Cruz Vermelha com o objetivo de reforçar o diálogo e a compreensão entre diferentes grupos e comunidades (por exemplo, migrantes e membros da comunidade de acolhimento)?",question_code,Question long label,,,,
variable,EXTRA_ENGAGEMENT_connected_community.short,More  Connected to Community,Davantage connecté à la communauté,Más conectado con la comunidad,Maior ligação à comunidade,question_code,Question short label,,,,
variable,EXTRA_ENGAGEMENT_connected_community.long,Have the engagement activities or discussions facilitated by the Red Cross helped you feel more connected to the community you consider yourself a part of?,Les activités d’engagement ou les discussions facilitées par la Croix-Rouge vous ont-elles aidé à vous sentir davantage connecté(e) à la communauté dont vous vous considérez membre ?,¿Las actividades de participación o discusiones facilitadas por la Cruz Roja le han ayudado a sentirse más conectado con la comunidad de la que se considera parte?,As atividades de envolvimento ou discussões facilitadas pela Cruz Vermelha ajudaram-no/a a sentir-se mais ligado/a à comunidade de que se considera parte?,question_code,Question long label,,,,
variable,EXTRA_ENGAGEMENT_connected_other.short,More Connected to Other Groups,Davantage connecté à d’autres groupes,Más conectado con otros grupos,Maior ligação a outros grupos,question_code,Question short label,,,,
variable,EXTRA_ENGAGEMENT_connected_other.long,Have the engagement activities or discussions facilitated by the Red Cross helped you feel more connected to other groups of people?,Les activités d’engagement ou les discussions facilitées par la Croix-Rouge vous ont-elles aidé à vous sentir davantage connecté(e) à d’autres groupes de personnes ?,¿Las actividades de participación o discusiones facilitadas por la Cruz Roja le han ayudado a sentirse más conectado con otros grupos de personas?,As atividades de envolvimento ou discussões facilitadas pela Cruz Vermelha ajudaram-no/a a sentir-se mais ligado/a a outros grupos de pessoas?,question_code,Question long label,,,,
variable,EXTRA_ENGAGEMENT_participation_impact.short,Impact of Participation,Impact de la participation,Impacto de la participación,Impacto da participação,question_code,Question short label,,,,
variable,EXTRA_ENGAGEMENT_participation_impact.long,Do you feel that being involved in discussions about services and support has helped improve the services?,Pensez-vous que votre participation aux discussions sur les services et le soutien a contribué à améliorer les services ?,¿Considera que participar en discusiones sobre servicios y apoyo ha contribuido a mejorar los servicios?,Sente que o envolvimento em discussões sobre serviços e apoio contribuiu para melhorar os serviços?,question_code,Question long label,,,,
variable,EXTRA_ENGAGEMENT_feeling_valued.short,Opinions and Needs Valued,Opinions et besoins pris en compte,Opiniones y necesidades valoradas,Opiniões e necessidades valorizadas,question_code,Question short label,,,,
variable,EXTRA_ENGAGEMENT_feeling_valued.long,Do you feel that your opinions and needs were valued during these activities or discussions?,Avez-vous le sentiment que vos opinions et vos besoins ont été pris en compte lors de ces activités ou discussions ?,¿Considera que sus opiniones y necesidades fueron valoradas durante estas actividades o discusiones?,Sente que as suas opiniões e necessidades foram valorizadas durante estas atividades ou discussões?,question_code,Question long label,,,,
variable,EXTRA_RELEVANCE_enough_information.short,Enough Information,Informations suffisantes,Información suficiente,Informação suficiente,question_code,Question short label,,,,
variable,EXTRA_RELEVANCE_enough_information.long,"Do you feel the Red Cross provided you with enough information to navigate essential aspects of life (e.g., housing, work, services, legal matters)?","Pensez-vous que la Croix-Rouge vous a fourni suffisamment d’informations pour vous orienter dans les aspects essentiels de la vie (par exemple, logement, travail, services, questions juridiques) ?","¿Considera que la Cruz Roja le proporcionó suficiente información para desenvolverse en aspectos esenciales de la vida (por ejemplo, vivienda, trabajo, servicios y asuntos legales)?","Sente que a Cruz Vermelha lhe forneceu informação suficiente para lidar com aspetos essenciais da vida (por exemplo, alojamento, trabalho, serviços, questões legais)?",question_code,Question long label,,,,
variable,EXTRA_RELEVANCE_information_impact.short,Useful Information,Informations utiles,Información útil,Informação útil,question_code,Question short label,,,,
variable,EXTRA_RELEVANCE_information_impact.long,Has the way information was shared been useful for improving your situation?,La manière dont les informations ont été partagées vous a-t-elle été utile pour améliorer votre situation ?,¿La forma en que se compartió la información ha sido útil para mejorar su situación?,A forma como a informação foi partilhada foi útil para melhorar a sua situação?,question_code,Question long label,,,,
variable,EXTRA_RELEVANCE_information_decision.short,Information for Better Decisions,Informations pour de meilleures décisions,Información para tomar mejores decisiones,Informação para melhores decisões,question_code,Question short label,,,,
variable,EXTRA_RELEVANCE_information_decision.long,Has the information provided by the Red Cross helped you make better decisions about your daily life?,Les informations fournies par la Croix-Rouge vous ont-elles aidé à prendre de meilleures décisions dans votre vie quotidienne ?,¿La información proporcionada por la Cruz Roja le ha ayudado a tomar mejores decisiones sobre su vida cotidiana?,A informação fornecida pela Cruz Vermelha ajudou-o/a a tomar melhores decisões sobre a sua vida quotidiana?,question_code,Question long label,,,,
variable,EXTRA_RELEVANCE_information_planning.short,Information for Better Planning,Informations pour mieux planifier,Información para una mejor planificación,Informação para melhor planeamento,question_code,Question short label,,,,
variable,EXTRA_RELEVANCE_information_planning.long,"Has access to information, participation, and trust in services contributed to improving your ability to plan for the future?","L’accès à l’information, la participation et la confiance dans les services ont-ils contribué à améliorer votre capacité à planifier l’avenir ?","¿El acceso a la información, la participación y la confianza en los servicios han contribuido a mejorar su capacidad para planificar el futuro?","O acesso à informação, a participação e a confiança nos serviços contribuíram para melhorar a sua capacidade de planear o futuro?",question_code,Question long label,,,,
variable,BEFORE_information.short,Received Information,Informations reçues,Información recibida,Recebeu informação,question_code,Question short label,,,,
variable,BEFORE_information.long,"Have you received any information about available support, services, or opportunities from the Red Cross?","Avez-vous reçu des informations sur les aides, services ou opportunités disponibles auprès de la Croix-Rouge ?","¿Ha recibido información sobre el apoyo, los servicios o las oportunidades disponibles de la Cruz Roja?","Recebeu da Cruz Vermelha alguma informação sobre apoio, serviços ou oportunidades disponíveis?",question_code,Question long label,,,,
variable,BEFORE_engagement.short,Impact of Red Cross engagement,Impact de l’engagement avec la Croix-Rouge,Impacto de la interacción con la Cruz Roja,Impacto do envolvimento com a Cruz Vermelha,question_code,Question short label,,,,
variable,BEFORE_engagement.long,Has engagement with the Red Cross helped improve your overall life situation?,Votre engagement avec la Croix-Rouge a-t-il contribué à améliorer votre situation générale ?,¿La interacción con la Cruz Roja ha contribuido a mejorar su situación general?,O envolvimento com a Cruz Vermelha ajudou a melhorar a sua situação de vida em geral?,question_code,Question long label,,,,
variable,BEFORE_trust_improved.short,Impact of Migrant Support on Trust,Impact du soutien aux migrants sur la confiance,Impacto del apoyo a migrantes en la confianza,Impacto do apoio a migrantes na confiança,question_code,Question short label,,,,
variable,BEFORE_trust_improved.long,Have the recent activities related to supporting migrants affected your trust in the Red Cross?,Les activités récentes liées au soutien aux migrants ont-elles influencé votre confiance envers la Croix-Rouge ?,¿Las actividades recientes relacionadas con el apoyo a migrantes han afectado su confianza en la Cruz Roja?,As atividades recentes relacionadas com o apoio a migrantes afetaram a sua confiança na Cruz Vermelha?,question_code,Question long label,,,,
variable,BEFORE_perception_improved.short,Impact of Migrant Support on Perceptions,Impact du soutien aux migrants sur les perceptions,Impacto del apoyo a migrantes en las percepciones,Impacto do apoio a migrantes nas perceções,question_code,Question short label,,,,
variable,BEFORE_perception_improved.long,Have the recent activities related to supporting migrants affected your perception of the Red Cross’ values and competences?,Les activités récentes liées au soutien aux migrants ont-elles influencé votre perception des valeurs et des compétences de la Croix-Rouge ?,¿Las actividades recientes relacionadas con el apoyo a migrantes han afectado su percepción de los valores y competencias de la Cruz Roja?,As atividades recentes relacionadas com o apoio a migrantes afetaram a sua perceção dos valores e competências da Cruz Vermelha?,question_code,Question long label,,,,
template,drivers.experience_title,Experience,Expérience,Experiencia,Experiência,,,,,,
template,drivers.last_12_months,In the last 12 months,Au cours des 12 derniers mois,En los últimos 12 meses,Nos últimos 12 meses,,,,,,
template,drivers.next_12_months,In the next 12 months,Au cours des 12 prochains mois,En los próximos 12 meses,Nos próximos 12 meses,,,,,,
template,drivers.impact_subtitle,Perception of impact,Perception de l’impact,Percepción del impacto,Perceção do impacto,,,,,,
template,drivers.channel_title,Channel,Canal,Canal,Canal,,,,,,
template,drivers.channel_subtitle,Through which channel did you receive information from the Red Cross?,Par quel canal avez-vous reçu des informations de la Croix-Rouge ?,¿A través de qué canal recibió información de la Cruz Roja?,Através de que canal recebeu informações da Cruz Vermelha?,,,,,,
template,drivers.knowledge_title,Knowledge,Connaissances,Conocimientos,Conhecimento,,,,,,
template,drivers.knowledge_subtitle,Awareness of the Red Cross role,Connaissance du rôle de la Croix-Rouge,Conocimiento del papel de la Cruz Roja,Conhecimento do papel da Cruz Vermelha,,,,,,
